High Low Percent,High,Low,Open Close Percent,Open,Close,Volume,Adj Close,Daily percent change
0.00%,0.21,0.21,0.00%,0.21,0.21,0.00,0.10,
0.00%,0.21,0.21,0.00%,0.21,0.21,0.00,0.10,0.00%
7.14%,18.75,17.50,2.86%,17.50,18.00,"11,336,551.00",8.68,8637.86%
5.71%,19.06,18.03,5.38%,18.03,19.00,"1,705,300.00",9.16,5.56%
5.44%,18.98,18.00,-1.60%,18.76,18.46,"1,668,900.00",8.90,-2.84%
3.95%,18.94,18.22,-1.56%,18.59,18.30,"1,460,800.00",8.83,-0.87%
4.49%,18.86,18.05,1.75%,18.26,18.58,"1,992,000.00",8.96,1.53%
2.13%,18.73,18.34,-0.49%,18.50,18.41,"305,400.00",8.88,-0.91%
2.71%,18.75,18.25,1.24%,18.48,18.71,"688,000.00",9.02,1.63%
4.16%,18.79,18.04,-2.19%,18.69,18.28,"196,300.00",8.82,-2.30%
3.14%,18.71,18.14,0.93%,18.28,18.45,"284,300.00",8.90,0.93%
2.78%,18.50,18.00,-2.28%,18.42,18.00,"493,800.00",8.68,-2.44%
1.56%,18.28,18.00,0.44%,18.00,18.08,"695,800.00",8.72,0.44%
2.22%,18.40,18.00,-0.61%,18.11,18.00,"171,400.00",8.68,-0.44%
4.00%,18.72,18.00,2.00%,18.00,18.36,"228,500.00",8.86,2.00%
4.29%,18.70,17.93,-2.07%,18.38,18.00,"456,800.00",8.68,-1.96%
3.26%,18.07,17.50,-2.50%,17.97,17.52,"440,300.00",8.45,-2.67%
3.64%,17.95,17.32,-0.17%,17.61,17.58,"320,300.00",8.48,0.34%
2.90%,17.75,17.25,-0.34%,17.50,17.44,"629,600.00",8.41,-0.80%
5.10%,17.52,16.67,-3.48%,17.51,16.90,"787,500.00",8.15,-3.10%
4.30%,17.47,16.75,1.77%,16.94,17.24,"346,600.00",8.32,2.01%
2.19%,17.30,16.93,0.06%,17.14,17.15,"286,900.00",8.27,-0.52%
7.34%,18.14,16.90,-0.58%,17.10,17.00,"494,200.00",8.20,-0.87%
4.26%,17.86,17.13,1.93%,17.13,17.46,"178,700.00",8.42,2.71%
8.19%,18.09,16.72,-1.74%,17.29,16.99,"190,600.00",8.19,-2.69%
3.29%,17.25,16.70,1.25%,16.84,17.05,"203,200.00",8.22,0.35%
2.37%,17.30,16.90,0.29%,17.09,17.14,"295,600.00",8.27,0.53%
8.41%,19.08,17.60,-0.78%,17.90,17.76,"1,499,100.00",8.57,3.62%
4.65%,18.23,17.42,1.79%,17.88,18.20,"558,100.00",8.78,2.48%
5.78%,18.49,17.48,-1.76%,18.22,17.90,"468,900.00",8.63,-1.65%
2.37%,18.11,17.69,-1.06%,17.92,17.73,"402,700.00",8.55,-0.95%
3.99%,17.98,17.29,-2.09%,17.70,17.33,"112,400.00",8.38,-1.98%
2.11%,17.41,17.05,-1.55%,17.39,17.12,"127,700.00",8.28,-1.21%
2.65%,17.46,17.01,0.35%,17.28,17.34,"139,800.00",8.39,1.29%
3.73%,17.25,16.63,-0.06%,17.10,17.09,"477,000.00",8.27,-1.44%
5.39%,18.00,17.08,3.92%,17.08,17.75,"251,500.00",8.59,3.86%
4.27%,17.82,17.09,-2.71%,17.69,17.21,"511,600.00",8.32,-3.04%
2.86%,17.65,17.16,0.46%,17.25,17.33,"161,900.00",8.38,0.70%
3.31%,17.50,16.94,0.87%,17.33,17.48,"124,400.00",8.45,0.87%
3.00%,17.50,16.99,-2.41%,17.45,17.03,"194,900.00",8.24,-2.57%
4.60%,17.50,16.73,2.59%,17.00,17.44,"225,400.00",8.44,2.41%
1.16%,17.51,17.31,-0.17%,17.51,17.48,"115,900.00",8.45,0.23%
1.89%,17.75,17.42,-0.29%,17.50,17.45,"232,600.00",8.44,-0.17%
3.41%,17.61,17.03,-0.98%,17.33,17.16,"215,400.00",8.30,-1.66%
2.88%,17.50,17.01,0.29%,17.25,17.30,"168,300.00",8.37,0.82%
4.04%,17.27,16.60,-1.98%,17.13,16.79,"392,000.00",8.12,-2.95%
9.05%,16.75,15.36,-4.57%,16.62,15.86,"1,757,100.00",7.67,-5.54%
4.22%,16.05,15.40,-1.25%,15.95,15.75,"849,000.00",7.62,-0.69%
2.97%,15.77,15.31,-0.70%,15.61,15.50,"490,000.00",7.50,-1.59%
3.37%,15.64,15.13,0.13%,15.47,15.49,"573,700.00",7.49,-0.06%
9.48%,16.98,15.51,4.00%,15.51,16.13,"785,600.00",7.80,4.13%
4.14%,16.47,15.81,0.25%,16.22,16.26,"2,733,600.00",7.86,0.81%
1.98%,16.26,15.94,-0.31%,16.24,16.19,"207,900.00",7.83,-0.43%
9.27%,16.50,15.10,7.46%,15.15,16.28,"642,800.00",7.87,0.56%
5.34%,17.05,16.18,3.29%,16.41,16.95,"438,100.00",8.20,4.12%
3.24%,17.23,16.69,1.43%,16.84,17.08,"402,500.00",8.26,0.77%
2.03%,17.35,17.00,0.23%,17.09,17.13,"291,500.00",8.29,0.29%
1.75%,17.47,17.17,0.87%,17.17,17.32,"72,800.00",8.38,1.11%
5.05%,17.88,17.02,1.77%,17.47,17.78,"159,200.00",8.60,2.66%
1.76%,17.91,17.60,-0.23%,17.77,17.73,"193,200.00",8.58,-0.28%
2.01%,17.73,17.38,-0.34%,17.72,17.66,"155,000.00",8.54,-0.39%
3.39%,18.00,17.41,2.11%,17.56,17.93,"250,900.00",8.67,1.53%
4.25%,18.63,17.87,2.65%,18.10,18.58,"330,800.00",8.99,3.63%
4.21%,19.06,18.29,0.37%,18.75,18.82,"308,900.00",9.10,1.29%
4.16%,18.92,18.17,0.11%,18.73,18.75,"163,900.00",9.07,-0.37%
1.61%,18.92,18.62,0.64%,18.65,18.77,"109,900.00",9.08,0.11%
4.75%,19.64,18.75,4.69%,18.75,19.63,"406,100.00",9.49,4.58%
3.02%,19.80,19.22,1.75%,19.40,19.74,"817,400.00",9.55,0.56%
5.30%,20.46,19.43,-0.91%,19.73,19.55,"341,000.00",9.46,-0.96%
2.28%,19.74,19.30,-1.22%,19.66,19.42,"364,200.00",9.39,-0.66%
4.11%,19.76,18.98,-1.08%,19.52,19.31,"395,200.00",9.34,-0.57%
3.29%,19.49,18.87,-1.55%,19.30,19.00,"345,400.00",9.19,-1.61%
5.56%,20.19,19.13,4.23%,19.14,19.95,"455,900.00",9.65,5.00%
2.91%,20.48,19.90,2.20%,19.96,20.40,"411,900.00",9.87,2.26%
5.32%,20.97,19.91,0.98%,20.48,20.68,"361,800.00",10.00,1.37%
3.10%,21.26,20.62,2.76%,20.67,21.24,"185,000.00",10.27,2.71%
3.48%,21.98,21.24,2.34%,21.36,21.86,"255,800.00",10.57,2.92%
